year,avg_milk_cow_number,milk_per_cow,milk_production_lbs,avg_price_milk,dairy_ration,milk_feed_price_ratio,milk_cow_cost_per_animal,milk_volume_to_buy_cow_in_lbs,alfalfa_hay_price,slaughter_cow_price
1980,10799000,11891,128406000000,0.13,0.04837356666666666,2.7171486088152226,1190,9153.846153846154,72,0.4573
1981,10898000,12183,132770000000,0.138,0.05035243333333335,2.7590311087479207,1200,8695.652173913042,70.9,0.4193
1982,11011000,12306,135505000000,0.136,0.04422101666666667,3.0881269035865357,1110,8161.764705882352,72.73333333333333,0.3996
1983,11059000,12622,139588000000,0.136,0.05235034166666666,2.609619556957251,1030,7573.529411764705,78.7,0.3935
1984,10793000,12541,135351000000,0.135,0.05338786666666666,2.54,895,6629.62962962963,79.48333333333333,0.3981
1985,10981000,13024,143012000000,0.127,0.045004575,2.84,860,6771.653543307086,73.67500000000001,0.3831
1986,10773000,13285,143124000000,0.125,0.03774749999999999,3.39,820,6560,64.64166666666667,0.3718
1987,10327000,13819,142709000000,0.125,0.03445415,3.64,920,7360,65.96666666666667,0.4479999999999999
1988,10224000,14185,145034000000,0.122,0.04721579166666667,2.63,990,8114.754098360655,82.50833333333333,0.4791
1989,10046000,14323,143893000000,0.136,0.050674175,2.7,1030,7573.529411764705,95.98333333333332,0.5011
1990,9993000,14782,147721000000,0.137,0.0485672,2.82,1160,8467.153284671533,92.55833333333332,0.5332
1991,9826000,15031,147697000000,0.122,0.04485205833333332,2.74,1100,9016.39344262295,78.95833333333333,0.515
1992,9688000,15570,150847000000,0.131,0.04371235833333333,3.01,1130,8625.954198473282,75.50833333333334,0.4968999999999999
1993,9581000,15722,150636000000,0.128,0.04599924166666667,2.8,1160,9062.5,86.66666666666667,0.5014
1994,9494000,16179,153602000000,0.13,0.04926199166666668,2.65,1170,9000,93.63333333333333,0.4503
1995,9466000,16405,155292000000,0.127,0.04913811666666665,2.59,1130,8897.63779527559,88.09166666666665,0.3812
1996,9372000,16433,154006000000,0.149,0.06151045,2.44,1090,7315.436241610738,95.025,0.33
1997,9252000,16871,156091000000,0.133,0.056215525,2.38,1100,8270.676691729323,110.69166666666666,0.3693
1998,9151000,17185,157262000000,0.155,0.04728829166666667,3.34,1120,7225.806451612903,94.28333333333336,0.3554
1999,9153000,17763,162589000000,0.14400000000000002,0.04011008333333334,3.59,1280,8888.888888888889,82.25833333333334,0.3728
2000,9199000,18197,167393000000,0.123,0.04042560833333333,3.05,1340,10894.30894308943,83.87500000000001,0.4007604166666667
2001,9103000,18162,165332000000,0.15,0.04413387499999999,3.39,1500,10000,102.40833333333336,0.44778645833333336
2002,9139000,18608,170063000000,0.121,0.046739725,2.6,1600,13223.140495867769,101.3,0.40093229166666666
2003,9081000,18759,170348000000,0.125,0.04802399166666667,2.61,1340,10720,94.025,0.4299
2004,9010000,18960,170832000000,0.161,0.05200663333333333,3.1,1580,9813.664596273293,95.13333333333333,0.5266
2005,9050000,19550,176931000000,0.151,0.04682468333333332,3.24,1770,11721.854304635764,102.52499999999998,0.5394
2006,9137000,19895,181782000000,0.129,0.05037088333333334,2.57,1730,13410.852713178294,107.70833333333331,0.4908
2007,9189000,20204,185654000000,0.191,0.0679576,2.8,1830,9581.151832460731,130.58333333333334,0.4951
2008,9314000,20397,189978000000,0.183,0.09166254166666668,2.01,1950,10655.737704918032,161.33333333333334,0.5144
2009,9202000,20561,189202000000,0.128,0.07268469166666666,1.78,1390,10859.375,122.91666666666669,0.4437675
2010,9123000,21142,192877000000,0.163,0.07202995000000001,2.26,1330,8159.509202453987,116.41666666666669,0.561
2011,9199000,21334,196255000000,0.201,0.107559575,1.9,1420,7064.6766169154225,176.08333333333334,0.6829999999999999
2012,9237000,21722,200642000000,0.185,0.1215,1.52,1430,7729.72972972973,206.08333333333337,0.7770999999999999
2013,9224000,21816,201231000000,0.201,0.11709234166666668,1.75,1380,6865.671641791044,205.83,0.7756000000000001
2014,9257000,22259,206054000000,0.24,0.0951,2.54,1830,7625,200.25,1.0204
